"","Kendall.tau","value","variation","Plasticity","Noise_levels"
"1",-0.566666666666667,-0.566666666666667,"AR1","0.05","High_noise"
"2",0.2,0.2,"AR1","0.05","High_noise"
"3",-0.166666666666667,-0.166666666666667,"AR1","0.05","High_noise"
"4",0.7,0.7,"AR1","0.05","High_noise"
"5",-0.0166666666666667,-0.0166666666666667,"AR1","0.05","High_noise"
"6",0.416666666666667,0.416666666666667,"AR1","0.05","High_noise"
"7",0.3,0.3,"AR1","0.05","High_noise"
"8",-0.0666666666666667,-0.0666666666666667,"AR1","0.05","High_noise"
"9",-0.433333333333333,-0.433333333333333,"AR1","0.05","High_noise"
"10",-0.433333333333333,-0.433333333333333,"AR1","0.05","High_noise"
"11",-0.7,-0.7,"AR1","0.05","High_noise"
"12",0.05,0.05,"AR1","0.05","High_noise"
"13",0.183333333333333,0.183333333333333,"AR1","0.05","High_noise"
"14",0.516666666666667,0.516666666666667,"AR1","0.05","High_noise"
"15",-0.483333333333333,-0.483333333333333,"AR1","0.05","High_noise"
"16",0.1,0.1,"AR1","0.05","High_noise"
"17",0.35,0.35,"AR1","0.05","High_noise"
"18",-0.616666666666667,-0.616666666666667,"AR1","0.05","High_noise"
"19",0.05,0.05,"AR1","0.05","High_noise"
"20",-0.0666666666666667,-0.0666666666666667,"AR1","0.05","High_noise"
"21",0.566666666666667,0.566666666666667,"AR1","0.05","High_noise"
"22",-0.4,-0.4,"AR1","0.05","High_noise"
"23",-0.0333333333333333,-0.0333333333333333,"AR1","0.05","High_noise"
"24",0,0,"AR1","0.05","High_noise"
"25",0.616666666666667,0.616666666666667,"AR1","0.05","High_noise"
"26",-0.566666666666667,-0.566666666666667,"AR1","0.05","High_noise"
"27",0.65,0.65,"AR1","0.05","High_noise"
"28",-0.65,-0.65,"AR1","0.05","High_noise"
"29",-0.25,-0.25,"AR1","0.05","High_noise"
"30",-0.5,-0.5,"AR1","0.05","High_noise"
"31",-0.783333333333333,-0.783333333333333,"AR1","0.05","High_noise"
"32",-0.183333333333333,-0.183333333333333,"AR1","0.05","High_noise"
"33",0.0333333333333333,0.0333333333333333,"AR1","0.05","High_noise"
"34",-0.0666666666666667,-0.0666666666666667,"AR1","0.05","High_noise"
"35",0.566666666666667,0.566666666666667,"AR1","0.05","High_noise"
"36",0.416666666666667,0.416666666666667,"AR1","0.05","High_noise"
"37",0.15,0.15,"AR1","0.05","High_noise"
"38",-0.0333333333333333,-0.0333333333333333,"AR1","0.05","High_noise"
"39",-0.05,-0.05,"AR1","0.05","High_noise"
"40",0.533333333333333,0.533333333333333,"AR1","0.05","High_noise"
"41",-0.283333333333333,-0.283333333333333,"AR1","0.05","High_noise"
"42",0.0166666666666667,0.0166666666666667,"AR1","0.05","High_noise"
"43",0.0333333333333333,0.0333333333333333,"AR1","0.05","High_noise"
"44",-0.716666666666667,-0.716666666666667,"AR1","0.05","High_noise"
"45",-0.883333333333333,-0.883333333333333,"AR1","0.05","High_noise"
"46",0.383333333333333,0.383333333333333,"AR1","0.05","High_noise"
"47",0.566666666666667,0.566666666666667,"AR1","0.05","High_noise"
"48",-0.566666666666667,-0.566666666666667,"AR1","0.05","High_noise"
"49",-0.3,-0.3,"AR1","0.05","High_noise"
"50",-0.116666666666667,-0.116666666666667,"AR1","0.05","High_noise"
"51",0.0666666666666667,0.0666666666666667,"AR1","0.05","High_noise"
"52",0.216666666666667,0.216666666666667,"AR1","0.05","High_noise"
"53",-0.0166666666666667,-0.0166666666666667,"AR1","0.05","High_noise"
"54",0.0333333333333333,0.0333333333333333,"AR1","0.05","High_noise"
"55",-0.4,-0.4,"AR1","0.05","High_noise"
"56",-0.35,-0.35,"AR1","0.05","High_noise"
"57",0.0166666666666667,0.0166666666666667,"AR1","0.05","High_noise"
"58",0.183333333333333,0.183333333333333,"AR1","0.05","High_noise"
"59",-0.333333333333333,-0.333333333333333,"AR1","0.05","High_noise"
"60",0.783333333333333,0.783333333333333,"AR1","0.05","High_noise"
"61",-0.683333333333333,-0.683333333333333,"AR1","0.05","High_noise"
"62",-0.316666666666667,-0.316666666666667,"AR1","0.05","High_noise"
"63",-0.2,-0.2,"AR1","0.05","High_noise"
"64",0.666666666666667,0.666666666666667,"AR1","0.05","High_noise"
"65",-0.0666666666666667,-0.0666666666666667,"AR1","0.05","High_noise"
"66",-0.35,-0.35,"AR1","0.05","High_noise"
"67",-0.5,-0.5,"AR1","0.05","High_noise"
"68",0.183333333333333,0.183333333333333,"AR1","0.05","High_noise"
"69",0.266666666666667,0.266666666666667,"AR1","0.05","High_noise"
"70",-0.05,-0.05,"AR1","0.05","High_noise"
"71",-0.4,-0.4,"AR1","0.05","High_noise"
"72",-0.05,-0.05,"AR1","0.05","High_noise"
"73",0.35,0.35,"AR1","0.05","High_noise"
"74",-0.0166666666666667,-0.0166666666666667,"AR1","0.05","High_noise"
"75",-0.0833333333333333,-0.0833333333333333,"AR1","0.05","High_noise"
"76",-0.566666666666667,-0.566666666666667,"AR1","0.05","High_noise"
"77",-0.233333333333333,-0.233333333333333,"AR1","0.05","High_noise"
"78",-0.25,-0.25,"AR1","0.05","High_noise"
"79",-0.4,-0.4,"AR1","0.05","High_noise"
"80",0.233333333333333,0.233333333333333,"AR1","0.05","High_noise"
"81",0.533333333333333,0.533333333333333,"AR1","0.05","High_noise"
"82",-0.216666666666667,-0.216666666666667,"AR1","0.05","High_noise"
"83",-0.4,-0.4,"AR1","0.05","High_noise"
"84",-0.216666666666667,-0.216666666666667,"AR1","0.05","High_noise"
"85",0.483333333333333,0.483333333333333,"AR1","0.05","High_noise"
"86",-0.233333333333333,-0.233333333333333,"AR1","0.05","High_noise"
"87",-0.65,-0.65,"AR1","0.05","High_noise"
"88",-0.7,-0.7,"AR1","0.05","High_noise"
"89",-0.55,-0.55,"AR1","0.05","High_noise"
"90",-0.35,-0.35,"AR1","0.05","High_noise"
"91",-0.116666666666667,-0.116666666666667,"AR1","0.05","High_noise"
"92",-0.35,-0.35,"AR1","0.05","High_noise"
"93",0.4,0.4,"AR1","0.05","High_noise"
"94",-0.816666666666667,-0.816666666666667,"AR1","0.05","High_noise"
"95",0.1,0.1,"AR1","0.05","High_noise"
"96",0.433333333333333,0.433333333333333,"AR1","0.05","High_noise"
"97",0.716666666666667,0.716666666666667,"AR1","0.05","High_noise"
"98",0.483333333333333,0.483333333333333,"AR1","0.05","High_noise"
"99",-0.5,-0.5,"AR1","0.05","High_noise"
"100",-0.85,-0.85,"AR1","0.05","High_noise"
"101",0.166666666666667,0.166666666666667,"SD","0.05","High_noise"
"102",-0.933333333333333,-0.933333333333333,"SD","0.05","High_noise"
"103",0.666666666666667,0.666666666666667,"SD","0.05","High_noise"
"104",0.9,0.9,"SD","0.05","High_noise"
"105",0.416666666666667,0.416666666666667,"SD","0.05","High_noise"
"106",0.85,0.85,"SD","0.05","High_noise"
"107",0.766666666666667,0.766666666666667,"SD","0.05","High_noise"
"108",0.366666666666667,0.366666666666667,"SD","0.05","High_noise"
"109",-0.433333333333333,-0.433333333333333,"SD","0.05","High_noise"
"110",0.883333333333333,0.883333333333333,"SD","0.05","High_noise"
"111",0.583333333333333,0.583333333333333,"SD","0.05","High_noise"
"112",0.716666666666667,0.716666666666667,"SD","0.05","High_noise"
"113",-0.4,-0.4,"SD","0.05","High_noise"
"114",-0.15,-0.15,"SD","0.05","High_noise"
"115",-0.816666666666667,-0.816666666666667,"SD","0.05","High_noise"
"116",0.333333333333333,0.333333333333333,"SD","0.05","High_noise"
"117",0.15,0.15,"SD","0.05","High_noise"
"118",0.3,0.3,"SD","0.05","High_noise"
"119",0.65,0.65,"SD","0.05","High_noise"
"120",0.116666666666667,0.116666666666667,"SD","0.05","High_noise"
"121",0.55,0.55,"SD","0.05","High_noise"
"122",0.0333333333333333,0.0333333333333333,"SD","0.05","High_noise"
"123",0.633333333333333,0.633333333333333,"SD","0.05","High_noise"
"124",0.583333333333333,0.583333333333333,"SD","0.05","High_noise"
"125",0.616666666666667,0.616666666666667,"SD","0.05","High_noise"
"126",0.683333333333333,0.683333333333333,"SD","0.05","High_noise"
"127",0.6,0.6,"SD","0.05","High_noise"
"128",-0.0833333333333333,-0.0833333333333333,"SD","0.05","High_noise"
"129",-0.683333333333333,-0.683333333333333,"SD","0.05","High_noise"
"130",0.266666666666667,0.266666666666667,"SD","0.05","High_noise"
"131",-0.766666666666667,-0.766666666666667,"SD","0.05","High_noise"
"132",-0.333333333333333,-0.333333333333333,"SD","0.05","High_noise"
"133",-0.583333333333333,-0.583333333333333,"SD","0.05","High_noise"
"134",0.833333333333333,0.833333333333333,"SD","0.05","High_noise"
"135",-0.55,-0.55,"SD","0.05","High_noise"
"136",-0.233333333333333,-0.233333333333333,"SD","0.05","High_noise"
